ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8023575,2.08E-31,8.71E-34,-16.9261523,66.3471347,-1.69,CCBE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7980616,2.08E-31,8.77E-34,-16.9246636,66.3396457,-1.44,PTPN21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7921773,2.45E-31,1.04E-33,16.8916218,66.1733605,1.24,NECTIN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7970924,2.82E-31,1.21E-33,-16.8618638,66.0234846,-1.49,STARD13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8178712,2.85E-31,1.24E-33,-16.8570854,65.999408,-1.62,TNXB,TNXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8179935,2.85E-31,1.24E-33,-16.8570854,65.999408,-1.62,TNXB,TNXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7952752,2.87E-31,1.25E-33,-16.8547697,65.9877388,-1.05,ADAMTS8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8057377,3.38E-31,1.49E-33,-16.8207814,65.8163922,-1.99,CCDC141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8018082,3.53E-31,1.56E-33,16.8109703,65.7669041,9.09E-01,SLC39A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8015706,3.58E-31,1.59E-33,-16.8068566,65.746151,-1.04,RAMP2-AS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082465,3.68E-31,1.65E-33,-16.8000603,65.7118591,-6.49E-01,EFCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8148591,4.36E-31,1.97E-33,-16.7656392,65.5380957,-8.44E-01,GPIHBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8113008,4.50E-31,2.04E-33,-16.7580248,65.499637,-7.05E-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8160033,6.44E-31,2.95E-33,16.6862948,65.1369924,9.45E-01,SNRPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8065353,6.50E-31,2.99E-33,-16.6832483,65.121576,-1.59,THBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125775,6.91E-31,3.20E-33,16.6700783,65.0549184,1.14,UQCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8156569,7.18E-31,3.35E-33,-16.6611995,65.0099678,-1.14,MIR23B,C9orf3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7903461,7.46E-31,3.50E-33,-16.6521957,64.9643747,-1.3,NTNG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8081838,7.46E-31,3.52E-33,-16.6512692,64.9596824,-1.43,ARHGAP31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8137232,7.64E-31,3.64E-33,-16.6444949,64.9253713,-1.71,GIMAP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067942,7.64E-31,3.67E-33,-16.6428918,64.9172511,-1.04,MIR99A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8109086,7.64E-31,3.69E-33,-16.6420219,64.9128443,-9.87E-01,ADRB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
